table_question_status ,round,question_text,answer_text_1,points_1,answer_text_2,points_2,answer_text_3,points_3,asnwer_text_4,points_4,answer_text_5,points_5
0,1,Ano ang pwedeng gawin gamit ang bibig,Humalik,20,Mag Salita,50,Kumanta,30,Sumipol,12,Dumila,16
0,2,Kadalasan ginagawa kung may Body Odor ang katabi mo sa sasakyan,Magtakip ng Ilong ,40,Lumipat ng Upuan ,20,Mag Pabango,16,Iiwas ang mukha ,18,Matulog ,25
0,3,Ano ang madalas pag-awayan ng magkasintahang ikakasal,Magulang,15,Pera,46,Damit na isusuot,23,Simbahan,5,Mga bisita,10
0,4,Mga Bagay na dinidilaan ,Lollipop,36,Ice Cream,41,Stamp,5,Popsicle,10,Envelope,12
0,5,Magbigay ng mga bagay na nakikita sa opisina ,Computer,50,Lapis/papel,20,Lamesa,10,Upuan,5,Telepono,14
1,1,Magbigay ng mga pagkain na madalas hinahanap kapag gutom ,Noodles,35,Kanin,12,Prutas,21,Tinapay,17,Biscuit,5
1,2,Ano ang ginagawa ng mga tao sa umaga,Mag almusal ,40,Maligo,25,Mag Exercise,10,Maghilamos,21,Mag dasal,15
1,3,Magbigay ng mga Natural Disaster maliban sa Baha ,Lindol ,30,Pagputok ng bulkan ,25,Buhawi,19,Sunog,26,landslide,27
1,4,Ano ang pinaka-hindi pwedeng mawala sa bag ng babae,Cellphone,41,Wallet,26,Pabango,20,Lipstick,34,Salamin,37
1,5,Ano ang mga dahilan bakit na late ang isang tao sa trabaho,Traffic ,50,Hindi na gising,34,Na aksidente ang sinasakyan,10,Walang Ma sakyan,5,Tinatamad,18
